Informations,Latitude,Longitude
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:22 ; Vitesse : 0.633707 km/h,48.6749,6.18014,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:23 ; Vitesse : 0.633707 km/h,48.6749,6.18014,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:31 ; Vitesse : 14.8584 km/h,48.6748,6.18036,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:31 ; Vitesse : 14.8584 km/h,48.6748,6.18036,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:36 ; Vitesse : 25.2625 km/h,48.6747,6.18064,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:37 ; Vitesse : 25.2625 km/h,48.6747,6.18064,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:39 ; Vitesse : 30.2029 km/h,48.6746,6.18097,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:40 ; Vitesse : 30.2029 km/h,48.6746,6.18097,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:43 ; Vitesse : 31.9612 km/h,48.6745,6.18131,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:43 ; Vitesse : 31.9612 km/h,48.6745,6.18131,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:44 ; Vitesse : 38.344 km/h,48.6744,6.18157,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:45 ; Vitesse : 38.344 km/h,48.6744,6.18157,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:48 ; Vitesse : 40.8032 km/h,48.6741,6.1819,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:48 ; Vitesse : 40.8032 km/h,48.6741,6.1819,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:49 ; Vitesse : 33.5703 km/h,48.6741,6.18215,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:49 ; Vitesse : 33.5703 km/h,48.6741,6.18215,
Numéro de vélo : 353621072289818 ; Date : 20/05/2016 10:16:51 ; Vitesse : 13.9531 km/h,48.6739,6.1824,
